Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
15572449,2016/2/26 19:13,2016/2/26 19:18,70465,295,1037,Frew St & Schenley Dr,1038,Boulevard of the Allies & Parkview Ave,Subscriber
15572466,2016/2/26 19:24,2016/2/26 19:27,70272,189,1003,First Ave & Smithfield St (Art Institute),1004,First Ave & B St (T Station),Subscriber
15572497,2016/2/26 19:39,2016/2/26 19:44,70278,326,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1038,Boulevard of the Allies & Parkview Ave,Customer
15572716,2016/2/26 22:34,2016/2/26 22:51,70288,1046,1002,Third Ave & Wood St,1002,Third Ave & Wood St,Customer
15572717,2016/2/26 22:34,2016/2/26 22:53,70273,1111,1002,Third Ave & Wood St,1002,Third Ave & Wood St,Customer
15572718,2016/2/26 22:35,2016/2/26 22:53,70403,1078,1002,Third Ave & Wood St,1002,Third Ave & Wood St,Customer
15572746,2016/2/26 23:32,2016/2/26 23:48,70068,962,1001,Forbes Ave & Market Square,1049,S 12th St & E Carson St,Customer
15572754,2016/2/26 23:42,2016/2/26 23:53,70310,664,1045,S 27th St & Tunnel Blvd (Southside Works),1048,S 18th St & Sidney St,Customer
15572756,2016/2/26 23:42,2016/2/26 23:53,70380,602,1045,S 27th St & Tunnel Blvd (Southside Works),1048,S 18th St & Sidney St,Customer
15572757,2016/2/26 23:43,2016/2/26 23:52,70424,589,1045,S 27th St & Tunnel Blvd (Southside Works),1048,S 18th St & Sidney St,Customer
15573630,2016/2/27 5:58,2016/2/27 6:01,70409,174,1039,Atwood St & Bates St,1041,Fifth Ave & S Bouquet St,Subscriber
15573793,2016/2/27 6:31,2016/2/27 6:36,70435,310,1038,Boulevard of the Allies & Parkview Ave,1040,Bigelow Blvd & Fifth Ave,Subscriber
15573803,2016/2/27 6:33,2016/2/27 6:53,70327,1149,1006,Ross St & Sixth Ave (Steel Plaza T Station),1047,S 22nd St & E Carson St,Subscriber
15573914,2016/2/27 6:53,2016/2/27 7:22,70242,1706,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Subscriber
15574106,2016/2/27 7:27,2016/2/27 7:44,70475,1049,1047,S 22nd St & E Carson St,1003,First Ave & Smithfield St (Art Institute),Subscriber
15574255,2016/2/27 7:47,2016/2/27 7:53,70243,344,1039,Atwood St & Bates St,1040,Bigelow Blvd & Fifth Ave,Customer
15574613,2016/2/27 8:47,2016/2/27 8:52,70371,277,1044,Zulema St & Coltart Ave,1040,Bigelow Blvd & Fifth Ave,Subscriber
15574936,2016/2/27 9:48,2016/2/27 13:49,70208,14452,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
15575060,2016/2/27 10:06,2016/2/27 13:47,70036,13228,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
15575283,2016/2/27 10:44,2016/2/27 10:48,70376,223,1041,Fifth Ave & S Bouquet St,1044,Zulema St & Coltart Ave,Subscriber
15575305,2016/2/27 10:48,2016/2/27 10:57,70251,579,1023,Liberty Ave & Baum Blvd,1035,Fifth Ave & S Dithridge St,Customer
15575371,2016/2/27 10:57,2016/2/27 11:07,70264,603,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1016,17th St & Penn Ave,Subscriber
15575414,2016/2/27 11:05,2016/2/27 11:53,70431,2904,1025,Penn Ave & N Fairmount St,1012,North Shore Trail & Fort Duquesne Bridge,Customer
15575424,2016/2/27 11:06,2016/2/27 11:53,70412,2815,1025,Penn Ave & N Fairmount St,1012,North Shore Trail & Fort Duquesne Bridge,Customer
15575460,2016/2/27 11:14,2016/2/27 11:20,70408,333,1049,S 12th St & E Carson St,1047,S 22nd St & E Carson St,Subscriber
15575523,2016/2/27 11:25,2016/2/27 11:29,70455,233,1029,Alder St & S Highland Ave,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
15575533,2016/2/27 11:26,2016/2/27 11:32,70486,338,1016,17th St & Penn Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Subscriber
15575595,2016/2/27 11:36,2016/2/27 11:54,70336,1104,1001,Forbes Ave & Market Square,1047,S 22nd St & E Carson St,Subscriber
15575687,2016/2/27 11:52,2016/2/27 11:57,70408,290,1047,S 22nd St & E Carson St,1049,S 12th St & E Carson St,Subscriber
15575690,2016/2/27 11:52,2016/2/27 13:48,70311,6905,1045,S 27th St & Tunnel Blvd (Southside Works),1000,Liberty Ave & Stanwix St,Customer
15575944,2016/2/27 12:44,2016/2/27 12:52,70404,482,1035,Fifth Ave & S Dithridge St,1023,Liberty Ave & Baum Blvd,Customer
