"","StationId","Month","Day","Year","Hour","Bike_out","MeanOfTripDuration_1","MedianOfTripDuration_1","MeanOfTripDuration_2","MedianOfTripDuration_2","Customer","Daily","Subscriber","Unknown","Bike_in"
"120",1000,"7","18","2015","17",0,0,0,0,0,0,0,0,0,2
"121",1000,"7","18","2015","18",2,2291.5,2291.5,2291.5,2291.5,2,0,0,0,0
"122",1000,"7","18","2015","20",0,0,0,0,0,0,0,0,0,4
"123",1000,"7","18","2015","21",1,125,125,125,125,1,0,0,0,6
"124",1000,"7","18","2015","8",1,3121,3121,3121,3121,1,0,0,0,0
"125",1000,"7","19","2015","10",3,3180.66666666667,3174,3180.66666666667,3174,3,0,0,0,0
"126",1000,"7","19","2015","11",2,1885,1885,1885,1885,1,0,1,0,0
"127",1000,"7","19","2015","13",4,1467.75,1463.5,1467.75,1463.5,4,0,0,0,2
"128",1000,"7","19","2015","14",2,1159.5,1159.5,1159.5,1159.5,2,0,0,0,2
"129",1000,"7","19","2015","15",1,239,239,239,239,0,0,1,0,3
"130",1000,"7","19","2015","16",1,0,0,4680,4680,1,0,0,0,3
"131",1000,"7","19","2015","17",6,1732.75,1712,2726.66666666667,1778,4,0,2,0,0
"132",1000,"7","19","2015","18",2,1540.5,1540.5,1540.5,1540.5,2,0,0,0,2
"133",1000,"7","19","2015","19",0,0,0,0,0,0,0,0,0,4
"134",1000,"7","19","2015","21",0,0,0,0,0,0,0,0,0,2
"135",1000,"7","2","2015","11",2,771,771,771,771,0,0,2,0,0
"136",1000,"7","2","2015","13",2,15.5,15.5,15.5,15.5,2,0,0,0,2
"137",1000,"7","2","2015","14",2,0,0,5673.5,5673.5,2,0,0,0,0
"138",1000,"7","2","2015","15",2,1930,1930,1930,1930,2,0,0,0,2
"139",1000,"7","2","2015","16",0,0,0,0,0,0,0,0,0,2
"140",1000,"7","2","2015","17",2,510,510,3570.5,3570.5,1,0,1,0,1
"141",1000,"7","2","2015","18",1,2610,2610,2610,2610,1,0,0,0,1
"142",1000,"7","2","2015","19",1,2586,2586,2586,2586,1,0,0,0,1
"143",1000,"7","2","2015","20",1,0,0,4285,4285,1,0,0,0,1
"144",1000,"7","2","2015","21",2,764.5,764.5,764.5,764.5,2,0,0,0,5
"145",1000,"7","2","2015","23",0,0,0,0,0,0,0,0,0,2
"146",1000,"7","2","2015","8",2,237,237,237,237,1,0,1,0,1
"147",1000,"7","20","2015","11",2,658.5,658.5,658.5,658.5,0,0,2,0,1
"148",1000,"7","20","2015","12",3,766.666666666667,644,766.666666666667,644,1,0,2,0,3
"149",1000,"7","20","2015","13",2,1140.5,1140.5,1140.5,1140.5,0,0,2,0,2
"150",1000,"7","20","2015","14",1,1565,1565,1565,1565,0,0,1,0,1
"151",1000,"7","20","2015","15",1,0,0,0,0,1,0,0,0,0
"152",1000,"7","20","2015","16",3,2452.5,2452.5,2881.33333333333,3589,2,0,1,0,2
"153",1000,"7","20","2015","17",2,1118,1118,1118,1118,0,0,2,0,1
"154",1000,"7","20","2015","18",4,1155,1360,1941.25,1587.5,3,0,1,0,3
"155",1000,"7","20","2015","19",2,0,0,5642,5642,2,0,0,0,1
"156",1000,"7","20","2015","20",2,1316.5,1316.5,1316.5,1316.5,2,0,0,0,1
"157",1000,"7","20","2015","23",2,279,279,279,279,2,0,0,0,2
"158",1000,"7","20","2015","7",1,205,205,205,205,0,0,1,0,0
"159",1000,"7","20","2015","8",0,0,0,0,0,0,0,0,0,1
"160",1000,"7","21","2015","10",0,0,0,0,0,0,0,0,0,5
"161",1000,"7","21","2015","12",8,2401,2612,2401,2612,6,0,2,0,7
"162",1000,"7","21","2015","13",0,0,0,0,0,0,0,0,0,2
"163",1000,"7","21","2015","16",2,918.5,918.5,918.5,918.5,2,0,0,0,0
"164",1000,"7","21","2015","17",7,2395,2906,2395,2906,6,0,1,0,1
"165",1000,"7","21","2015","18",4,955.75,928.5,955.75,928.5,4,0,0,0,5
"166",1000,"7","21","2015","20",3,1924.66666666667,1949,1924.66666666667,1949,3,0,0,0,1
"167",1000,"7","21","2015","21",0,0,0,0,0,0,0,0,0,2
"168",1000,"7","21","2015","22",3,250,250,3172,4489,3,0,0,0,1
"169",1000,"7","21","2015","23",0,0,0,0,0,0,0,0,0,2
"170",1000,"7","21","2015","9",0,0,0,0,0,0,0,0,0,1
"171",1000,"7","22","2015","0",0,0,0,0,0,0,0,0,0,2
"172",1000,"7","22","2015","11",2,2485.5,2485.5,2485.5,2485.5,1,0,0,1,1
"173",1000,"7","22","2015","12",1,369,369,369,369,0,0,1,0,2
"174",1000,"7","22","2015","13",3,1153,1153,3294.66666666667,4111,3,0,0,0,2
"175",1000,"7","22","2015","14",2,0,0,5231.5,5231.5,2,0,0,0,3
"176",1000,"7","22","2015","15",0,0,0,0,0,0,0,0,0,3
"177",1000,"7","22","2015","16",3,879.333333333333,609,879.333333333333,609,0,0,3,0,0
"178",1000,"7","22","2015","17",6,1376.5,1597,1376.5,1597,3,0,3,0,2
"179",1000,"7","22","2015","18",1,2485,2485,2485,2485,0,0,1,0,0
"180",1000,"7","22","2015","20",1,718,718,718,718,1,0,0,0,2
"181",1000,"7","22","2015","8",1,1355,1355,1355,1355,0,0,1,0,1
"182",1000,"7","22","2015","9",0,0,0,0,0,0,0,0,0,3
"183",1000,"7","23","2015","10",1,315,315,315,315,0,0,1,0,0
"184",1000,"7","23","2015","11",0,0,0,0,0,0,0,0,0,3
"185",1000,"7","23","2015","12",4,566.5,573.5,566.5,573.5,2,0,2,0,0
"186",1000,"7","23","2015","13",2,270,270,270,270,2,0,0,0,4
"187",1000,"7","23","2015","14",5,1660.8,1948,1660.8,1948,5,0,0,0,5
"188",1000,"7","23","2015","15",2,2681,2681,4368.5,4368.5,2,0,0,0,1
"189",1000,"7","23","2015","16",1,1705,1705,1705,1705,1,0,0,0,3
"190",1000,"7","23","2015","17",4,1807.5,2030,1807.5,2030,3,0,1,0,1
"191",1000,"7","23","2015","18",0,0,0,0,0,0,0,0,0,1
"192",1000,"7","23","2015","19",1,395,395,395,395,0,0,1,0,0
"193",1000,"7","23","2015","2",0,0,0,0,0,0,0,0,0,1
"194",1000,"7","23","2015","7",0,0,0,0,0,0,0,0,0,1
"195",1000,"7","23","2015","8",1,266,266,266,266,0,0,1,0,0
"196",1000,"7","24","2015","11",3,952.333333333333,944,952.333333333333,944,3,0,0,0,1
"197",1000,"7","24","2015","13",1,2137,2137,2137,2137,1,0,0,0,3
"198",1000,"7","24","2015","14",4,2394,2803,2394,2803,4,0,0,0,0
"199",1000,"7","24","2015","15",4,1303.25,1421,1303.25,1421,3,0,1,0,1
"200",1000,"7","24","2015","16",1,2065,2065,2065,2065,0,0,1,0,4
"201",1000,"7","24","2015","17",4,614.666666666667,341,614.666666666667,341,2,0,2,0,4
"202",1000,"7","24","2015","18",3,373.5,373.5,373.5,373.5,3,0,0,0,5
"203",1000,"7","24","2015","19",4,1685.5,1685.5,3060.25,3055.5,4,0,0,0,2
"204",1000,"7","24","2015","20",1,1549,1549,1549,1549,0,0,1,0,1
"205",1000,"7","24","2015","21",0,0,0,0,0,0,0,0,0,3
"206",1000,"7","24","2015","7",0,0,0,0,0,0,0,0,0,1
"207",1000,"7","24","2015","8",2,606,606,606,606,0,0,2,0,4
"208",1000,"7","24","2015","9",1,575,575,575,575,1,0,0,0,0
"209",1000,"7","25","2015","10",0,0,0,0,0,0,0,0,0,2
"210",1000,"7","25","2015","11",3,460,460,3481,4977,3,0,0,0,3
"211",1000,"7","25","2015","12",5,1881,1881,3137.8,3871,4,0,1,0,1
"212",1000,"7","25","2015","13",8,1998.14285714286,2275,2322.75,2277.5,7,0,1,0,10
"213",1000,"7","25","2015","14",1,2456,2456,2456,2456,1,0,0,0,8
"214",1000,"7","25","2015","15",2,597.5,597.5,597.5,597.5,1,0,1,0,1
"215",1000,"7","25","2015","16",9,2313.125,2978,2613.77777777778,2989,7,0,2,0,3
"216",1000,"7","25","2015","17",3,1771.5,1771.5,2452,3512,3,0,0,0,11
"217",1000,"7","25","2015","18",5,2129,2055,2129,2055,4,0,1,0,3
"218",1000,"7","25","2015","19",8,999.333333333333,516,1387.14285714286,659,8,0,0,0,4
"219",1000,"7","25","2015","20",0,0,0,0,0,0,0,0,0,1
"220",1000,"7","25","2015","21",1,1334,1334,1334,1334,0,0,1,0,0
"221",1000,"7","25","2015","22",1,3305,3305,3305,3305,1,0,0,0,1
"222",1000,"7","25","2015","23",2,3553,3553,3791.5,3791.5,2,0,0,0,0
"223",1000,"7","25","2015","6",1,672,672,672,672,0,0,1,0,0
"224",1000,"7","25","2015","7",0,0,0,0,0,0,0,0,0,1
"225",1000,"7","25","2015","8",3,1102.66666666667,1092,1102.66666666667,1092,2,0,1,0,2
"226",1000,"7","26","2015","0",0,0,0,0,0,0,0,0,0,2
"227",1000,"7","26","2015","10",4,3359.5,3359.5,4164,4150.5,4,0,0,0,8
"228",1000,"7","26","2015","11",3,518.333333333333,642,518.333333333333,642,2,0,1,0,6
"229",1000,"7","26","2015","12",5,1452,1108,1452,1108,4,0,1,0,8
"230",1000,"7","26","2015","13",3,446.333333333333,129,446.333333333333,129,3,0,0,0,4
"231",1000,"7","26","2015","14",2,2037.5,2037.5,2037.5,2037.5,1,0,1,0,4
"232",1000,"7","26","2015","15",4,2285.5,2250,2285.5,2250,3,0,1,0,2
"233",1000,"7","26","2015","16",2,1756.5,1756.5,1756.5,1756.5,2,0,0,0,3
"234",1000,"7","26","2015","17",7,2120.5,2120.5,4448,4107,7,0,0,0,2
"235",1000,"7","26","2015","18",2,0,0,4115.5,4115.5,2,0,0,0,4
"236",1000,"7","26","2015","19",1,1493,1493,1493,1493,1,0,0,0,7
"237",1000,"7","26","2015","21",9,1564.4,1417,2864.44444444444,1833,9,0,0,0,0
"238",1000,"7","26","2015","22",0,0,0,0,0,0,0,0,0,7
"239",1000,"7","26","2015","6",1,545,545,545,545,1,0,0,0,2
"240",1000,"7","26","2015","7",3,986.5,986.5,986.5,986.5,2,0,1,0,1
"241",1000,"7","26","2015","8",6,0,0,6832.66666666667,6784,1,0,5,0,0
"242",1000,"7","26","2015","9",3,79,79,79,79,3,0,0,0,4
"243",1000,"7","27","2015","10",1,1388,1388,1388,1388,0,0,1,0,1
"244",1000,"7","27","2015","11",1,1849,1849,1849,1849,1,0,0,0,1
"245",1000,"7","27","2015","12",2,1042,1042,1042,1042,0,0,2,0,1
"246",1000,"7","27","2015","13",1,613,613,613,613,1,0,0,0,2
"247",1000,"7","27","2015","14",3,803.5,803.5,803.5,803.5,3,0,0,0,0
"248",1000,"7","27","2015","16",2,634.5,634.5,634.5,634.5,1,0,1,0,1
"249",1000,"7","27","2015","17",4,1436.25,1627.5,1436.25,1627.5,2,0,2,0,0
"250",1000,"7","27","2015","18",5,2023.4,2452,2023.4,2452,2,0,3,0,4
"251",1000,"7","27","2015","19",0,0,0,0,0,0,0,0,0,1
"252",1000,"7","27","2015","20",4,1784,1784,2734,3586,4,0,0,0,2
"253",1000,"7","27","2015","23",2,1955.5,1955.5,1955.5,1955.5,2,0,0,0,0
"254",1000,"7","27","2015","8",1,0,0,5104,5104,1,0,0,0,1
"255",1000,"7","27","2015","9",0,0,0,0,0,0,0,0,0,1
"256",1000,"7","28","2015","0",0,0,0,0,0,0,0,0,0,2
"257",1000,"7","28","2015","11",0,0,0,0,0,0,0,0,0,2
"258",1000,"7","28","2015","13",0,0,0,0,0,0,0,0,0,2
"259",1000,"7","28","2015","17",5,894.75,843.5,894.75,843.5,1,0,4,0,2
"260",1000,"7","28","2015","18",3,1198.66666666667,1369,1198.66666666667,1369,1,0,2,0,0
"261",1000,"7","28","2015","19",0,0,0,0,0,0,0,0,0,1
"262",1000,"7","28","2015","20",1,0,0,3918,3918,1,0,0,0,0
"263",1000,"7","28","2015","21",1,902,902,902,902,1,0,0,0,2
"264",1000,"7","28","2015","22",1,18,18,18,18,0,0,1,0,2
"265",1000,"7","28","2015","23",0,0,0,0,0,0,0,0,0,1
"266",1000,"7","28","2015","6",1,899,899,899,899,0,0,1,0,0
"267",1000,"7","28","2015","7",2,155.5,155.5,155.5,155.5,0,0,2,0,3
"268",1000,"7","28","2015","8",0,0,0,0,0,0,0,0,0,1
"269",1000,"7","29","2015","10",1,3066,3066,3066,3066,0,0,1,0,0
"270",1000,"7","29","2015","11",7,791.857142857143,910,791.857142857143,910,7,0,0,0,2
"271",1000,"7","29","2015","12",1,296,296,296,296,0,0,1,0,6
"272",1000,"7","29","2015","13",1,26,26,26,26,1,0,0,0,1
"273",1000,"7","29","2015","14",6,1071,622,1494.33333333333,653,6,0,0,0,4
"274",1000,"7","29","2015","15",3,2287,2781,2287,2781,3,0,0,0,4
"275",1000,"7","29","2015","16",2,1314.5,1314.5,1314.5,1314.5,1,0,1,0,4
"276",1000,"7","29","2015","17",3,765.333333333333,665,765.333333333333,665,0,0,3,0,2
"277",1000,"7","29","2015","18",4,1916.5,1916.5,1916.5,1916.5,2,0,2,0,0
