TripId,StartTime,StopTime,BikeId,TripDuration,FromStationId,FromStationName,ToStationId,ToStationName,UserType
15202789,2015/12/3 9:23,2015/12/3 9:31,70325,490,1023,Liberty Ave & Baum Blvd,1020,42nd St & Penn Ave (Children's Hospital),Customer
15202837,2015/12/3 9:31,2015/12/3 9:47,70436,931,1041,Fifth Ave & S Bouquet St,1024,S Negley Ave & Baum Blvd,Customer
15202926,2015/12/3 9:41,2015/12/3 10:00,70335,1146,1049,S 12th St & E Carson St,1000,Liberty Ave & Stanwix St.,Subscriber
15202946,2015/12/3 9:44,2015/12/3 9:52,70319,491,1025,Penn Ave & N Fairmount St,1033,Ivy St & Walnut St,Subscriber
15202968,2015/12/3 9:47,2015/12/3 9:52,70492,313,1038,Boulevard of the Allies & Parkview Ave,1041,Fifth Ave & S Bouquet St,Subscriber
15203238,2015/12/3 10:22,2015/12/3 10:27,70343,309,1035,Fifth Ave & S Dithridge St,1037,Frew St. & Schenley Dr.,Subscriber
15203257,2015/12/3 10:24,2015/12/3 10:35,70376,671,1034,Ellsworth Ave & N Neville St,1028,Penn Ave & Putnam St -- Bakery Square,Subscriber
15203267,2015/12/3 10:25,2015/12/3 11:06,70482,2474,1021,Taylor St & Liberty Ave,1019,42nd St & Butler St,Subscriber
15203356,2015/12/3 10:35,2015/12/3 10:42,70497,416,1028,Penn Ave & Putnam St -- Bakery Square,1032,Maryland Ave & Walnut St,Subscriber
15203372,2015/12/3 10:36,2015/12/3 10:54,70190,1035,1023,Liberty Ave & Baum Blvd,1009,12th St & Penn Ave,Subscriber
15203453,2015/12/3 10:46,2015/12/3 10:52,70011,366,1034,Ellsworth Ave & N Neville St,1033,Ivy St & Walnut St,Subscriber
15203742,2015/12/3 11:23,2015/12/3 11:34,70137,665,1017,21st St & Penn Ave,1019,42nd St & Butler St,Customer
15203843,2015/12/3 11:34,2015/12/3 11:35,70493,54,1017,21st St & Penn Ave,1017,21st St & Penn Ave,Subscriber
15203907,2015/12/3 11:41,2015/12/3 11:56,70004,854,1041,Fifth Ave & S Bouquet St,1023,Liberty Ave & Baum Blvd,Customer
15203916,2015/12/3 11:43,2015/12/3 11:55,70493,747,1017,21st St & Penn Ave,1005,Forbes Ave & Grant St,Customer
15203961,2015/12/3 11:48,2015/12/3 12:02,70463,842,1021,Taylor St & Liberty Ave,1037,Frew St. & Schenley Dr.,Subscriber
